,0
639,397154
640,397760
641,397861
642,401422
643,406432
644,406836
645,412528
646,413934
647,414229
648,415837
649,419239
650,421226
651,422632
652,424939
653,429040
654,432332
655,433839
656,436239
657,436845
658,441939
659,445543
660,448347
661,449753
662,453441
663,453542
664,454140
665,456346
666,459453
667,461743
668,463040
669,465852
670,467351
671,468050
672,469961
673,475855
674,479762
675,480141
676,481042
677,481951
678,485757
679,486759
680,495255
681,497865
682,499566
683,500222
684,506234
685,510225
686,510326
687,512835
688,513130
689,513736
690,516742
691,517239
692,518746
693,519647
694,519950
695,520228
696,522434
697,523032
698,524135
699,525541
700,529549
701,529953
702,530635
703,531536
704,531940
705,536647
706,540436
707,541640
708,541943
709,545345
710,547046
711,548250
712,552241
713,552544
714,553344
715,555348
716,555651
717,555954
718,557857
719,558657
720,558960
721,559053
722,559457
723,561242
724,561444
725,561949
726,562345
727,562446
728,565452
729,566454
730,567052
731,567759
732,567961
733,568963
734,570243
735,571144
736,572045
737,573249
738,573451
739,576255
740,578057
741,579665
742,579867
743,580044
744,580347
745,580650
746,580751
747,581349
748,581450
749,583858
750,585256
751,585862
752,586460
753,587664
754,588565
755,589567
756,590047
757,592455
758,594156
759,597869
760,598568
761,599065
762,599469
763,599671
764,601127
765,604537
766,609143
767,611938
768,613538
769,614439
770,615441
771,615744
772,616645
773,617748
774,618952
775,620434
776,622236
777,623844
778,626648
779,627549
780,627852
781,628248
782,633847
783,634748
784,635245
785,638049
786,644246
787,645450
788,645551
789,647858
790,654350
791,654552
792,654754
793,656253
794,656657
795,657659
796,660951
797,662551
798,663755
799,664757
800,665254
801,667056
802,668361
803,671855
804,672756
805,673455
806,675661
807,677766
808,677968
809,679568
810,679770
811,680250
812,680452
813,680957
814,683256
815,685058
816,686969
817,687163
818,690152
819,692964
820,693764
821,694362
822,695768
823,698168
824,700634
825,702133
826,704238
827,705341
828,706040
829,707749
830,709551
831,713239
832,715041
833,715647
834,715950
835,720337
836,723141
837,724446
838,725751
839,727553
840,727654
841,728454
842,729254
843,729557
844,731140
845,732243
846,734045
847,735148
848,737960
849,742549
850,744553
851,748258
852,748662
853,749058
854,749361
855,751348
856,751550
857,753150
858,753251
859,756055
860,757764
861,759869
862,760551
863,761957
864,763557
865,765056
866,765864
867,767464
868,769064
869,770352
870,771354
871,773257
872,774663
873,779370
874,782561
