0,100206
1,100307
2,100408
3,100610
4,101006
5,101107
6,101309
7,101915
8,102008
9,102109
10,102311
11,102513
12,102614
13,102715
14,102816
15,103010
16,103111
17,103212
18,103414
19,103515
20,103818
21,104012
22,104416
23,104820
24,105014
25,105115
26,105216
27,105620
28,105923
29,106016
30,106319
31,106521
32,106824
33,107018
34,107321
35,107422
36,107725
37,108020
38,108121
39,108222
40,108323
41,108525
42,108828
43,109123
44,109325
45,109830
46,110007
47,110411
48,110613
49,111009
50,111211
51,111312
52,111413
53,111514
54,111716
55,112112
56,112314
57,112516
58,112920
59,113215
60,113316
61,113619
62,113922
63,114217
64,114318
65,114419
66,114621
67,114823
68,114924
69,115017
70,115219
71,115320
72,115724
73,115825
74,116524
75,116726
76,117021
77,117122
78,117324
79,117930
80,118023
81,118124
82,118225
83,118528
84,118730
85,118831
86,118932
87,119025
88,119126
89,119732
90,119833
91,120111
92,120212
93,120414
94,120515
95,120717
96,121416
97,121618
98,121921
99,122317
100,122620
101,122822
102,123117
103,123420
104,123521
105,123723
106,123824
107,123925
108,124220
109,124422
110,124624
111,124826
112,125222
113,125424
114,125525
115,126325
116,126426
117,126628
118,127226
119,127327
120,127630
121,127731
122,127832
123,127933
124,128026
125,128127
126,128632
127,128935
128,129028
129,129129
130,129331
131,129634
132,130013
133,130114
134,130316
135,130417
136,130518
137,130619
138,130720
139,130821
140,130922
141,131217
142,131419
143,131722
144,131823
145,131924
146,132017
147,132118
148,133019
149,133625
150,133827
151,133928
152,134021
153,134223
154,134324
155,134425
156,134627
157,134728
158,134829
159,135124
160,135225
161,135528
162,135629
163,135730
164,135932
165,136126
166,136227
167,136631
168,136732
169,136833
170,137027
171,137128
172,137229
173,137431
174,137532
175,137633
176,137936
177,138130
178,138231
179,138332
180,138534
181,138837
182,139233
183,139435
184,139637
185,139839
186,140117
187,140319
188,140420
189,140824
190,140925
191,141119
192,141422
193,141826
194,142828
195,143224
196,143325
197,143426
198,143830
199,144125
200,144226
201,144428
202,144731
203,144832
204,144933
205,145127
206,145632
207,145834
208,146129
209,146331
210,146432
211,146533
212,146735
213,146836
214,146937
215,147030
216,147636
217,147737
218,148032
219,148133
220,148335
221,148436
222,148840
223,148941
224,149236
225,149337
226,149539
227,149741
228,149842
229,150423
230,150625
231,150726
232,151223
233,151324
234,151425
235,151526
236,151627
237,151728
238,151829
239,151930
240,152225
241,152427
242,152831
243,153025
244,153126
245,153227
246,153429
247,153631
248,153732
249,153833
250,153934
251,154229
252,154330
253,154431
254,154532
255,154734
256,154835
257,154936
258,155635
259,155938
260,156031
261,156233
262,156334
263,156435
264,156536
265,156637
266,157336
267,157437
268,157942
269,158035
270,158136
271,158338
272,158540
273,158843
274,159138
275,159239
276,159340
277,159441
278,159744
279,159946
280,160123
281,160729
282,160830
283,161327
284,161630
285,161731
286,161832
287,162026
288,162228
289,162329
290,162733
291,162935
292,163129
293,163331
294,163432
295,163836
296,164030
297,164131
298,164636
299,164939
300,165032
